,DoS-Synflooding,MITM ARP Spoofing,Mirai-Ackflooding,Mirai-HTTP Flooding,Mirai-Hostbruteforceg,Mirai-UDP Flooding,Normal,Scan Hostport,Scan Port OS
600357,0,0,0,0,1,0,0,0,0
600358,0,0,0,0,0,1,0,0,0
600359,0,1,0,0,0,0,0,0,0
600360,0,0,0,0,1,0,0,0,0
600361,0,0,0,0,1,0,0,0,0
600362,0,0,0,0,1,0,0,0,0
600363,0,0,0,0,0,1,0,0,0
600364,0,0,0,0,1,0,0,0,0
600365,0,0,0,1,0,0,0,0,0
600366,0,0,0,0,0,1,0,0,0
600367,0,0,0,0,1,0,0,0,0
600368,0,0,0,1,0,0,0,0,0
600369,0,0,0,0,0,0,1,0,0
600370,0,0,0,0,0,1,0,0,0
600371,0,0,0,0,0,1,0,0,0
600372,0,0,0,0,1,0,0,0,0
600373,0,0,0,0,0,0,1,0,0
600374,0,0,0,0,0,0,0,0,1
600375,1,0,0,0,0,0,0,0,0
600376,0,0,1,0,0,0,0,0,0
600377,0,0,0,0,0,1,0,0,0
600378,1,0,0,0,0,0,0,0,0
600379,0,0,1,0,0,0,0,0,0
600380,0,0,0,0,0,1,0,0,0
600381,0,0,0,0,0,1,0,0,0
600382,0,1,0,0,0,0,0,0,0
600383,1,0,0,0,0,0,0,0,0
600384,0,0,0,0,1,0,0,0,0
600385,1,0,0,0,0,0,0,0,0
600386,0,0,0,0,1,0,0,0,0
600387,0,0,0,0,0,0,0,0,1
600388,0,0,0,0,1,0,0,0,0
600389,0,0,0,0,1,0,0,0,0
600390,0,1,0,0,0,0,0,0,0
600391,0,0,0,1,0,0,0,0,0
600392,0,0,0,0,0,0,0,1,0
600393,0,0,0,0,1,0,0,0,0
600394,0,1,0,0,0,0,0,0,0
600395,0,0,0,0,1,0,0,0,0
600396,0,0,0,0,1,0,0,0,0
600397,0,0,0,0,0,1,0,0,0
600398,0,0,0,0,1,0,0,0,0
600399,0,0,0,0,0,1,0,0,0
600400,0,0,0,0,0,0,0,0,1
600401,0,0,0,0,0,0,1,0,0
600402,0,0,0,1,0,0,0,0,0
600403,0,1,0,0,0,0,0,0,0
600404,0,0,0,0,0,1,0,0,0
600405,0,0,0,0,1,0,0,0,0
600406,1,0,0,0,0,0,0,0,0
600407,0,0,0,0,1,0,0,0,0
600408,0,0,0,0,0,0,0,0,1
600409,0,0,0,0,0,1,0,0,0
600410,0,0,0,0,0,1,0,0,0
600411,0,1,0,0,0,0,0,0,0
600412,0,0,0,0,0,0,0,0,1
600413,0,0,1,0,0,0,0,0,0
600414,0,0,0,0,0,0,1,0,0
600415,0,0,0,0,1,0,0,0,0
600416,1,0,0,0,0,0,0,0,0
600417,0,0,0,0,0,1,0,0,0
600418,0,0,0,0,0,0,0,0,1
600419,0,0,0,0,0,1,0,0,0
600420,0,0,0,0,0,1,0,0,0
600421,0,1,0,0,0,0,0,0,0
600422,0,0,0,0,0,0,0,1,0
600423,0,0,1,0,0,0,0,0,0
600424,0,0,0,1,0,0,0,0,0
600425,0,0,0,0,0,1,0,0,0
600426,0,0,0,0,1,0,0,0,0
600427,0,0,0,0,0,0,0,0,1
600428,1,0,0,0,0,0,0,0,0
600429,0,0,1,0,0,0,0,0,0
600430,0,0,0,0,0,0,0,0,1
600431,0,0,1,0,0,0,0,0,0
600432,0,0,1,0,0,0,0,0,0
600433,0,0,0,0,1,0,0,0,0
600434,0,0,0,0,0,0,1,0,0
600435,0,0,0,1,0,0,0,0,0
600436,0,0,0,0,1,0,0,0,0
600437,0,1,0,0,0,0,0,0,0
600438,0,0,1,0,0,0,0,0,0
600439,0,0,0,0,1,0,0,0,0
600440,0,0,0,0,1,0,0,0,0
600441,0,0,0,0,0,1,0,0,0
600442,0,0,0,0,0,1,0,0,0
600443,0,0,0,0,0,0,0,0,1
600444,0,0,0,0,0,0,0,0,1
600445,0,0,0,0,0,1,0,0,0
600446,0,0,0,0,0,0,0,0,1
600447,0,0,0,1,0,0,0,0,0
600448,0,1,0,0,0,0,0,0,0
600449,0,0,0,0,0,1,0,0,0
600450,0,0,0,0,0,1,0,0,0
600451,0,0,0,0,0,0,1,0,0
600452,0,0,0,1,0,0,0,0,0
600453,0,0,0,0,1,0,0,0,0
600454,0,0,0,0,0,1,0,0,0
600455,0,0,0,0,0,1,0,0,0
600456,1,0,0,0,0,0,0,0,0
600457,0,0,0,0,0,1,0,0,0
600458,0,0,0,0,0,1,0,0,0
600459,0,0,0,0,1,0,0,0,0
600460,0,1,0,0,0,0,0,0,0
600461,1,0,0,0,0,0,0,0,0
600462,0,0,0,1,0,0,0,0,0
600463,0,0,0,0,0,1,0,0,0
600464,0,0,0,0,0,1,0,0,0
600465,0,0,0,1,0,0,0,0,0
600466,0,0,0,0,0,1,0,0,0
600467,0,0,0,0,0,0,0,0,1
